TotalPurchase,DateFirstPurchase,BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,Education,Occupation,HomeOwnerFlag,NumberCarsOwned
16.01,00:00.0,00:00.0,M,25001-50000,M,4,Graduate Degree,Clerical,1,0
4,00:00.0,00:00.0,M,50001-75000,F,3,Bachelors ,Professional,1,1
4730.04,00:00.0,00:00.0,S,75001-100000,M,2,Partial College,Skilled Manual,0,2
2435.4018,00:00.0,00:00.0,M,25001-50000,M,1,Bachelors ,Clerical,1,0
1647,00:00.0,00:00.0,M,50001-75000,M,2,Bachelors ,Professional,1,1
699.0964,00:00.0,00:00.0,M,greater than 100000,F,3,Partial College,Professional,1,3
1651,00:00.0,00:00.0,S,50001-75000,F,2,Bachelors ,Skilled Manual,0,1
15.49,00:00.0,00:00.0,M,0-25000,M,0,Partial College,Manual,1,1
37.7,00:00.0,00:00.0,S,50001-75000,M,0,Bachelors ,Professional,0,1
4.99,00:00.0,00:00.0,M,0-25000,F,2,Partial High School,Clerical,1,2
39.01,00:00.0,00:00.0,S,75001-100000,M,0,Partial College,Professional,1,2
0,00:00.0,00:00.0,S,50001-75000,M,2,High School,Professional,0,2
4,00:00.0,00:00.0,M,75001-100000,M,5,Partial High School,Skilled Manual,1,2
2443.35,00:00.0,00:00.0,S,75001-100000,F,1,Graduate Degree,Management,1,0
21.49,00:00.0,00:00.0,S,0-25000,F,1,Graduate Degree,Clerical,0,0
41.01,00:00.0,00:00.0,S,25001-50000,F,0,Partial College,Clerical,1,1
2.7,00:00.0,00:00.0,S,25001-50000,F,2,Partial College,Clerical,0,2
2274.98,00:00.0,00:00.0,M,greater than 100000,M,3,Partial College,Professional,1,3
539.99,00:00.0,00:00.0,S,0-25000,F,0,Partial High School,Manual,0,2
1.01,00:00.0,00:00.0,M,0-25000,F,4,Partial High School,Manual,1,2
4679.05,00:00.0,00:00.0,S,50001-75000,M,2,High School,Skilled Manual,0,2
2342.0318,00:00.0,00:00.0,S,50001-75000,M,0,Bachelors ,Professional,0,3
30,00:00.0,00:00.0,S,25001-50000,M,0,High School,Manual,1,1
3499.8504,00:00.0,00:00.0,S,0-25000,F,0,Partial High School,Manual,0,2
2327.7,00:00.0,00:00.0,S,25001-50000,F,2,Bachelors ,Skilled Manual,1,0
539.9882,00:00.0,00:00.0,M,0-25000,M,2,Partial High School,Clerical,1,2
13.01,00:00.0,00:00.0,M,50001-75000,M,5,Bachelors ,Management,1,3
69.99,00:00.0,00:00.0,M,0-25000,F,2,Partial College,Manual,1,1
