TotalPurchase,CustomerAge,CustomerBday,FirstOrderMonths,FirstOrderDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,Education,Occupation,HomeOwnerFlag,NumberCarsOwned
29.5100,41,1981-02-03,80,2019-08-01,M,25001-50000,F,1,"Bachelors ",Skilled Manual,1,2
32.6900,45,1976-07-11,80,2019-08-01,M,25001-50000,F,4,High School,Skilled Manual,1,3
7.9500,50,1972-03-11,80,2019-08-01,S,25001-50000,M,2,High School,Skilled Manual,1,2
41.9900,52,1969-09-26,80,2019-08-01,S,25001-50000,M,3,Partial High School,Clerical,0,2
14.9800,54,1968-02-12,80,2019-08-01,S,75001-100000,F,4,Partial College,Professional,1,1
2.7000,51,1970-09-21,80,2019-08-01,M,50001-75000,F,2,High School,Professional,0,2
13.0100,30,1991-08-23,80,2019-08-01,M,50001-75000,F,0,Partial College,Professional,1,2
69.0200,49,1973-03-02,80,2019-08-01,S,75001-100000,F,4,Graduate Degree,Skilled Manual,1,0
6.4900,47,1974-08-18,80,2019-08-01,M,50001-75000,F,5,Graduate Degree,Professional,1,3
41.5200,35,1987-01-07,80,2019-08-01,M,50001-75000,F,0,Partial College,Skilled Manual,0,2
30.9900,58,1964-02-04,80,2019-08-01,M,greater than 100000,F,4,Partial College,Management,1,4
4.9900,67,1954-04-12,80,2019-08-01,S,50001-75000,F,3,Graduate Degree,Management,1,2
30.0000,46,1976-02-20,80,2019-08-01,S,25001-50000,M,4,High School,Skilled Manual,1,3
1.0200,65,1957-01-20,80,2019-08-01,M,75001-100000,F,5,"Bachelors ",Management,1,2
21.4900,35,1987-03-14,80,2019-08-01,M,0-25000,M,0,Partial High School,Manual,1,2
20.0000,55,1967-02-22,80,2019-08-01,S,50001-75000,M,2,High School,Professional,1,2
21.0000,60,1961-08-25,80,2019-08-01,M,greater than 100000,M,4,"Bachelors ",Management,1,0
25.0000,47,1974-07-13,80,2019-08-01,M,25001-50000,M,2,Partial College,Clerical,1,1
29.5100,30,1991-04-09,80,2019-08-01,M,50001-75000,F,0,"Bachelors ",Professional,1,3
5.0000,43,1978-05-19,80,2019-08-01,M,50001-75000,M,4,"Bachelors ",Professional,1,3
104.7700,33,1989-02-07,80,2019-08-01,S,25001-50000,M,0,Partial College,Clerical,0,1
57.0300,48,1973-06-05,80,2019-08-01,M,50001-75000,M,5,Graduate Degree,Professional,1,1
2.9600,57,1964-07-21,80,2019-08-01,S,50001-75000,F,2,Partial College,Professional,1,2
6.4900,34,1987-06-22,80,2019-07-31,M,25001-50000,F,1,"Bachelors ",Skilled Manual,1,0
1.6000,57,1964-10-14,80,2019-07-31,M,50001-75000,M,2,Partial College,Professional,1,2
19.2000,65,1956-08-25,80,2019-07-31,M,25001-50000,F,4,"Bachelors ",Management,1,2
9.5100,44,1977-12-21,80,2019-07-31,S,greater than 100000,F,1,Partial College,Professional,0,4
55.9800,53,1968-11-16,80,2019-07-31,M,0-25000,M,2,High School,Manual,0,2
34.5200,42,1979-05-20,80,2019-07-31,S,75001-100000,M,5,Partial College,Professional,0,4
46.0000,41,1981-02-08,80,2019-07-31,M,0-25000,F,4,Partial High School,Manual,1,2
27.6900,61,1960-11-05,80,2019-07-31,S,0-25000,F,5,Partial High School,Clerical,1,3
33.0100,45,1977-03-06,80,2019-07-31,S,25001-50000,M,3,High School,Skilled Manual,1,2
6.4800,74,1947-05-20,80,2019-07-31,M,25001-50000,M,2,Partial College,Clerical,0,2
29.4900,49,1972-06-06,80,2019-07-31,M,25001-50000,M,2,High School,Skilled Manual,1,2
21.4900,41,1980-10-13,80,2019-07-31,S,50001-75000,M,3,"Bachelors ",Professional,0,1
28.6100,35,1986-12-27,80,2019-07-31,M,50001-75000,F,1,Graduate Degree,Skilled Manual,1,0
0.5000,34,1988-03-16,80,2019-07-30,S,0-25000,M,0,Partial High School,Manual,1,2
